event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
129,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/25/2016,3/25/2016,Vancouver
130,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/27/2016,3/27/2016,Vancouver
131,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/29/2016,3/29/2016,Vancouver
132,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,3/31/2016,3/31/2016,Vancouver
133,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/1/2016,4/1/2016,Vancouver
134,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/4/2016,4/4/2016,Denver
135,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/4/2016,4/4/2016,Vancouver
136,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/5/2016,4/5/2016,Denver
137,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/6/2016,4/6/2016,Denver
138,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/6/2016,4/6/2016,Vancouver
139,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/7/2016,4/7/2016,Vancouver
140,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/8/2016,4/8/2016,Denver
141,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/9/2016,4/9/2016,Denver
142,NFL,sport,"800 Griffiths Way,Vancouver, BC V6B 6G1",18860,4/9/2016,4/9/2016,Vancouver
143,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/10/2016,4/10/2016,Denver
144,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/12/2016,4/12/2016,Denver
145,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/13/2016,4/13/2016,Denver
146,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/14/2016,4/14/2016,Denver
147,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/15/2016,4/15/2016,Denver
148,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,4/16/2016,4/16/2016,Denver
